,,,,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2020,INE 2023,INE 2023,INE 2023,INE 2023,INE 2023,INE 2023,,INE 2020,INE 2023,INE 2017 %,INE 2017 %,INE 2017 %,MIDESO 2017 %,MIDESO 2017 %,MIDESO 2020 %,MIDESO 2022 %,,MIDESO 2022 %,,,,,,,,,
NOM_REGION,CLAVE_REGION,NOM_MUN,CLAVE_MUN,POB_TOTAL,POB_HOM,POR_HOM,POB_MUJ,POR_MUJ,POB_EDAD_0_14,POR_EDAD_0_14,POB_EDAD_15_64,POR_EDAD_15_64,POB_EDAD_65+,POR_EDAD_65+,POB_TOTAL,POB_HOM,POB_MUJ,POB_EDAD_0_14,POB_EDAD_15_64,POB_EDAD_MAS_65,SUPERFICIE,DENSIDAD 2020,DENSIDAD,%POB_RURAL,%POB_ETNIA,%POB_MIGRANTE,%POBREZA_ING,%POBREZA_MULTI,%POBREZA_ING,%POBREZA_ING,POBREZA_ING_EXTR,%POBREZA_MULTI,MARGINACION,VULNERABILIDAD_SOCIAL,VULNERABILIDAD_SOCIAL_PUNTAJE,PRIORIDAD_SOCIAL,REZAGO_SOCIAL,TASA MORTALIDAD 2020,TASA MORTALIDAD 2021,TASA EGRESOS 2020 por 100 mil,TASA EGRESOS 2021 por 100 mil
Tarapacá,1,Iquique,1101,223463,112479,50,110984,50,44909,20.0968393,156452,70.01248529,22102,9.890675414,"230,595","115,897","114,698",19.45,69.54,11.00,"2,287.62",97.68,100.80,1.26,17.63,13.75,4.4%,19.7%,12.3%,7.9%,,18.3%,None,Medio-baja,-5.643147877,,None,89.95,188.44,295.80,594.82
Tarapacá,1,Alto Hospicio,1107,129999,65487,50,64512,50,35632,27.40944161,88381,67.98590758,5986,4.604650805,"140,282","70,564","69,718",26.85,67.97,5.18,573.85,226.54,244.46,2.30,30.59,11.02,7.8%,27.5%,16.1%,15.3%,,32.6%,None,Alta,12.59333596,,None,58.46,99.94,205.39,414.66
Tarapacá,1,Pozo Almonte,1401,17395,9077,52,8318,48,4285,24.63351538,11629,66.85254383,1481,8.513940788,"18,452","9,610","8,842",23.95,66.48,9.57,"13,769.12",1.26,1.34,35.75,43.04,11.26,10.9%,38.8%,15.7%,15.3%,,25.0%,None,Medio-alta,8.020496975,,None,97.73,72.82,241.45,431.30
Tarapacá,1,Camiña,1402,1375,705,51,670,49,287,20.87272727,849,61.74545455,239,17.38181818,"1,379",706,673,20.16,60.62,19.22,"2,199.69",0.63,0.63,100.00,87.79,13.69,26.4%,51.8%,22.8%,24.0%,,22.3%,None,Alta,33.67387355,,None,218.18,216.76,363.64,650.29
Tarapacá,1,Colchane,1403,1583,826,52,757,48,268,16.92987997,1034,65.31901453,281,17.7511055,"1,569",820,749,16.51,64.12,19.38,"4,007.03",0.40,0.39,100.00,84.72,10.13,13.9%,63.5%,21.2%,22.3%,,30.0%,None,Alta,35.71564291,,None,126.34,62.97,379.03,314.86
Tarapacá,1,Huara,1404,3000,1559,52,1441,48,680,22.66666667,1832,61.06666667,488,16.26666667,"3,080","1,601","1,479",21.75,60.32,17.92,"10,471.19",0.29,0.29,59.38,63.08,2.69,18.8%,46.5%,20.2%,18.1%,,38.6%,None,Alta,19.15544333,,None,66.67,197.17,800.00,690.11
Tarapacá,1,Pica,1405,5958,3012,51,2946,49,1350,22.65861027,3717,62.38670695,891,14.95468278,"6,231","3,149","3,082",21.79,61.61,16.59,"8,983.82",0.66,0.69,57.92,46.47,15.77,8.6%,32.3%,16.8%,10.7%,,16.8%,None,Medio-alta,6.791320282,,None,83.92,147.90,469.96,312.24
Antofagasta,2,Antofagasta,2101,425725,213732,50,211993,50,87262,20.49726936,303988,71.40478008,34475,8.097950555,"441,211","221,328","219,883",19.73,71.41,8.86,"30,691.17",13.87,14.38,2.15,8.06,9.89,5.1%,16.6%,8.2%,7.2%,,16.7%,None,Medio-baja,-6.603716021,,None,65.77,112.29,287.27,429.32
Antofagasta,2,Mejillones,2102,14776,7716,52,7060,48,3100,20.97996751,10722,72.56361668,954,6.456415809,"15,659","8,137","7,522",20.22,72.69,7.09,"3,568.84",4.14,4.39,3.81,9.71,14.34,7.7%,22.0%,12.8%,7.1%,,19.9%,None,Medio-baja,-2.666861585,,None,40.61,72.52,351.92,560.39
