Categoría,Comuna,IPS 2022
ALTA PRIORIDAD SOCIAL,La Pintana,88.03
ALTA PRIORIDAD SOCIAL,Lo Espejo,85.32
ALTA PRIORIDAD SOCIAL,Cerro Navia,85.11
ALTA PRIORIDAD SOCIAL,San Ramón,82.75
ALTA PRIORIDAD SOCIAL,María Pinto,79.81
ALTA PRIORIDAD SOCIAL,El Monte,79.07
ALTA PRIORIDAD SOCIAL,Conchalí,78.71
MEDIA ALTA PRIORIDAD SOCIAL,El Bosque,75.50
MEDIA ALTA PRIORIDAD SOCIAL,Pedro Aguirre Cerda,75.33
MEDIA ALTA PRIORIDAD SOCIAL,San Pedro,75.01
MEDIA ALTA PRIORIDAD SOCIAL,Lo Prado,74.84
MEDIA ALTA PRIORIDAD SOCIAL,San Joaquín,74.46
MEDIA ALTA PRIORIDAD SOCIAL,La Granja,73.89
MEDIA ALTA PRIORIDAD SOCIAL,Isla de Maipo,73.63
MEDIA ALTA PRIORIDAD SOCIAL,Melipilla,73.30
MEDIA ALTA PRIORIDAD SOCIAL,Estación Central,72.79
MEDIA ALTA PRIORIDAD SOCIAL,Renca,72.75
MEDIA ALTA PRIORIDAD SOCIAL,Tiltil,72.64
MEDIA ALTA PRIORIDAD SOCIAL,Recoleta,72.39
MEDIA ALTA PRIORIDAD SOCIAL,San Bernardo,71.45
MEDIA ALTA PRIORIDAD SOCIAL,Alhué,70.97
MEDIA ALTA PRIORIDAD SOCIAL,Quinta Normal,70.45
MEDIA ALTA PRIORIDAD SOCIAL,Curacaví,70.27
MEDIA ALTA PRIORIDAD SOCIAL,Paine,69.32
MEDIA ALTA PRIORIDAD SOCIAL,San José de Maipo,68.41
MEDIA BAJA PRIORIDAD SOCIAL,Independencia,66.31
MEDIA BAJA PRIORIDAD SOCIAL,Buin,66.28
MEDIA BAJA PRIORIDAD SOCIAL,Pudahuel,66.24
MEDIA BAJA PRIORIDAD SOCIAL,Padre Hurtado,65.59
MEDIA BAJA PRIORIDAD SOCIAL,Cerrillos,64.93
MEDIA BAJA PRIORIDAD SOCIAL,Talagante,64.10
MEDIA BAJA PRIORIDAD SOCIAL,Lampa,63.63
MEDIA BAJA PRIORIDAD SOCIAL,Peñaflor,63.62
MEDIA BAJA PRIORIDAD SOCIAL,La Cisterna,62.98
MEDIA BAJA PRIORIDAD SOCIAL,Pirque,62.04
MEDIA BAJA PRIORIDAD SOCIAL,Puente Alto,61.88
MEDIA BAJA PRIORIDAD SOCIAL,Calera de Tango,60.69
MEDIA BAJA PRIORIDAD SOCIAL,Peñalolén,60.15
MEDIA BAJA PRIORIDAD SOCIAL,La Florida,59.71
BAJA PRIORIDAD SOCIAL,Maipú,58.48
BAJA PRIORIDAD SOCIAL,Santiago,57.02
BAJA PRIORIDAD SOCIAL,Quilicura,56.02
BAJA PRIORIDAD SOCIAL,Colina,52.73
BAJA PRIORIDAD SOCIAL,Huechuraba,52.17
BAJA PRIORIDAD SOCIAL,San Miguel,52.09
BAJA PRIORIDAD SOCIAL,Macul,49.57
SIN PRIORIDAD SOCIAL,Ñuñoa,33.82
SIN PRIORIDAD SOCIAL,La Reina,30.86
SIN PRIORIDAD SOCIAL,Lo Barnechea,25.32
SIN PRIORIDAD SOCIAL,Providencia,21.62
SIN PRIORIDAD SOCIAL,Las Condes,13.07
SIN PRIORIDAD SOCIAL,Vitacura,3.84
